age_difference;same_gender;setting;frequency;initiator;help;other_age;other_gender;role;hierarchy;rel_quality;geo_distance;years_known;depth_acquaintance;contact_freq;shared_interests;formality_level;Sociality
-2;1;casual;occasional;you;receiving;25;Male;friend;None;1;v-close;2-5 years;2;3;4;2;6
-1;1;casual;occasional;other;giving;26;Male;friend;None;2;v-close;5-10 years;5;3;4;1;5
-2;1;casual;occasional;none;neither;25;Male;friend;None;1;v-close;2-5 years;2;3;4;2;6
4;1;work;occasional;other;giving;32;Female;groupMember;None;1;v-close;<2 years;2;2;2;3;3
7;0;work;occasional;you;receiving;35;Male;supervisor;Higher;1;v-close;<2 years;1;1;2;5;3
30;1;family;regular;none;neither;58;Female;parent;None;1;v-far;>10 years;5;4;2;1;6
30;1;family;occasional;other;neither;58;Female;parent;None;1;v-far;>10 years;5;4;2;1;5
4;1;sport;regular;none;neither;32;Female;groupMember;None;1;v-close;<2 years;2;2;2;3;6
0;1;sport;occasional;other;neither;28;Female;friend;None;1;v-far;>10 years;3;2;3;2;4
7;0;casual;regular;none;neither;35;Male;supervisor;Higher;1;v-close;<2 years;1;1;2;5;6
7;0;casual;occasional;other;giving;35;Male;supervisor;Higher;1;v-close;<2 years;1;1;2;5;4
-5;0;work;occasional;other;giving;19;Female;neighbour;Lower;0;far;<2 years;1;1;;1;4
21;1;work;occasional;you;receiving;45;Male;supervisor;Higher;0;v-far;<2 years;1;1;;2;3
-3;1;family;occasional;you;neither;21;Male;extendedFamily;None;1;v-far;>10 years;3;2;3;4;3
-3;1;family;occasional;other;neither;21;Male;extendedFamily;None;1;v-far;>10 years;3;2;3;4;3
-5;0;sport;regular;none;neither;19;Female;friend;Lower;0;v-far;>10 years;2;1;;1;4
21;1;sport;occasional;other;neither;45;Male;supervisor;Higher;0;v-far;<2 years;1;1;;2;2
4;1;casual;regular;none;neither;28;Male;groupMember;Lower;-1;v-close;>10 years;4;3;5;2;3
4;1;casual;occasional;you;receiving;28;Male;groupMember;Lower;-1;v-close;>10 years;4;3;5;2;2
0;0;work;occasional;other;giving;26;Other;friend;None;2;close;>10 years;5;5;5;1;5
14;1;work;occasional;you;receiving;40;Female;supervisor;Higher;0;far;2-5 years;2;1;2;3;5
34;1;family;regular;none;neither;60;Female;parent;None;1;far;>10 years;5;4;2;1;6
34;1;family;occasional;other;neither;60;Female;parent;None;1;far;>10 years;5;4;2;1;5
0;0;casual;regular;none;neither;26;Other;friend;None;2;close;>10 years;5;5;5;1;3
2;1;casual;occasional;you;receiving;28;Female;friend;None;1;close;2-5 years;2;2;2;1;6
2;1;casual;occasional;other;giving;28;Female;friend;None;1;close;2-5 years;2;2;2;1;6
14;1;casual;occasional;none;neither;40;Female;supervisor;Higher;0;far;2-5 years;2;1;2;3;6
1;1;work;regular;none;neither;34;Female;supervisor;Higher;2;v-close;<2 years;5;4;3;3;3
20;0;family;regular;none;neither;53;Male;parent;Higher;-2;close;>10 years;5;1;4;1;5
20;0;family;occasional;you;neither;53;Male;parent;Higher;-2;close;>10 years;5;1;4;1;4
20;0;family;occasional;other;neither;53;Male;parent;Higher;-2;close;>10 years;5;1;4;1;4
1;1;sport;occasional;other;neither;34;Female;supervisor;Higher;2;v-close;<2 years;5;4;3;3;5
-11;1;casual;occasional;you;receiving;22;Female;friend;Higher;2;v-close;2-5 years;5;4;4;3;4
-11;1;casual;occasional;other;giving;22;Female;friend;Higher;2;v-close;2-5 years;5;4;4;3;5
0;1;casual;occasional;none;neither;33;Female;friend;Lower;-1;v-close;5-10 years;5;4;5;1;5
-6;0;work;occasional;other;giving;28;Male;friend;None;2;v-close;2-5 years;4;4;4;1;1
24;1;work;occasional;you;receiving;58;Female;supervisor;Higher;-1;v-close;>10 years;3;2;2;3;2
24;1;work;regular;none;neither;58;Female;supervisor;Higher;-1;v-close;>10 years;3;2;2;3;5
-17;1;family;occasional;you;neither;17;Female;child;None;2;v-far;>10 years;5;5;4;1;6
-6;0;sport;regular;none;neither;28;Male;friend;None;2;v-close;2-5 years;4;4;4;1;5
-6;0;casual;regular;none;neither;28;Male;friend;None;2;v-close;2-5 years;4;4;4;1;5
24;1;casual;occasional;other;giving;58;Female;supervisor;Higher;-1;v-close;>10 years;3;2;2;3;4
-6;0;casual;occasional;none;neither;28;Male;friend;None;2;v-close;2-5 years;4;4;4;1;4
33;1;work;regular;none;neither;55;Female;supervisor;Higher;0;v-close;<2 years;2;2;;3;6
30;1;family;regular;none;neither;52;Female;parent;Higher;1;v-close;>10 years;5;5;3;3;6
30;1;family;occasional;you;neither;52;Female;parent;Higher;1;v-close;>10 years;5;5;3;3;5
30;1;family;occasional;other;neither;52;Female;parent;Higher;1;v-close;>10 years;5;5;3;3;1
33;1;sport;regular;none;neither;55;Female;supervisor;Higher;0;v-close;<2 years;2;2;;3;6
33;1;sport;occasional;other;neither;55;Female;supervisor;Higher;0;v-close;<2 years;2;2;;3;4
1;1;casual;occasional;other;giving;23;Female;friend;None;2;v-close;2-5 years;4;5;4;1;4
7;1;casual;occasional;none;neither;29;Female;extendedFamily;Lower;-1;v-close;5-10 years;5;3;;1;6
9;1;work;occasional;other;giving;55;Female;supervisor;Higher;-1;close;5-10 years;2;1;;1;3
9;1;work;occasional;you;receiving;55;Female;supervisor;Higher;-1;close;5-10 years;2;1;;1;3
-6;1;work;regular;none;neither;40;Female;coWorker;None;-1;v-close;<2 years;2;2;;1;5
5;0;family;occasional;other;neither;51;Male;partner;None;2;v-close;>10 years;5;5;4;5;3
9;1;sport;regular;none;neither;55;Female;supervisor;Higher;-1;close;5-10 years;2;1;;1;5
-19;1;sport;occasional;other;neither;27;Female;groupMember;None;1;v-close;<2 years;2;3;3;3;3
-19;1;casual;occasional;you;receiving;27;Female;groupMember;None;1;v-close;<2 years;2;3;3;3;6
10;1;casual;occasional;none;neither;56;Female;friend;None;2;v-close;5-10 years;5;5;4;3;4
15;0;work;occasional;you;receiving;37;Male;supervisor;Higher;1;v-far;2-5 years;3;2;;2;4
15;0;work;regular;none;neither;37;Male;supervisor;Higher;1;v-far;2-5 years;3;2;;2;4
53;0;family;regular;none;neither;75;Male;parent;None;0;v-far;>10 years;3;2;;4;3
44;1;family;occasional;other;neither;66;Female;parent;None;-1;v-far;>10 years;3;2;;2;6
5;0;sport;regular;none;neither;27;Male;friend;None;2;v-close;<2 years;4;5;4;2;4
15;0;sport;occasional;other;neither;37;Male;supervisor;Higher;1;v-far;2-5 years;3;2;;2;6
-4;0;casual;regular;none;neither;18;Male;other;None;1;v-far;<2 years;2;1;;2;5
5;0;casual;occasional;other;giving;27;Male;friend;None;2;v-close;<2 years;4;5;4;2;5
0;1;work;occasional;other;giving;52;Female;friend;None;2;v-close;>10 years;4;4;4;2;3
13;0;work;occasional;you;receiving;65;Male;supervisor;Higher;1;v-close;>10 years;3;2;;4;2
-18;0;family;regular;none;neither;34;Male;child;Lower;2;v-close;>10 years;5;3;4;1;6
-3;1;family;occasional;other;neither;49;Female;sibling;Lower;-1;v-close;>10 years;5;1;1;1;4
-12;1;sport;regular;none;neither;40;Female;neighbour;None;0;v-close;>10 years;2;2;2;3;4
0;1;sport;occasional;other;neither;52;Female;friend;None;2;v-close;>10 years;4;4;4;2;5
13;0;casual;regular;none;neither;65;Male;supervisor;Higher;1;v-close;>10 years;3;2;;4;6
0;1;casual;occasional;none;neither;52;Female;friend;None;2;v-close;>10 years;4;4;4;2;3
15;1;work;occasional;you;receiving;44;Male;supervisor;Higher;0;v-close;5-10 years;4;3;2;3;4
15;1;work;regular;none;neither;44;Male;supervisor;Higher;0;v-close;5-10 years;4;3;2;3;5
47;1;family;regular;none;neither;76;Male;parent;Higher;1;close;>10 years;5;3;3;4;5
47;1;family;occasional;other;neither;76;Male;parent;Higher;1;close;>10 years;5;3;3;4;5
15;1;sport;occasional;other;neither;44;Male;supervisor;Higher;0;v-close;5-10 years;4;3;2;3;4
15;1;casual;regular;none;neither;44;Male;supervisor;Higher;0;v-close;5-10 years;4;3;2;3;3
-15;1;casual;occasional;you;receiving;14;Male;extendedFamily;Lower;0;v-close;<2 years;2;2;;2;4
0;1;casual;occasional;none;neither;29;Male;friend;None;1;v-close;2-5 years;4;4;5;3;4
4;0;work;occasional;other;giving;25;Male;friend;None;2;v-close;2-5 years;5;5;5;5;4
29;0;work;occasional;you;receiving;50;Male;supervisor;Higher;1;v-close;5-10 years;2;3;2;4;4
29;0;work;regular;none;neither;50;Male;supervisor;Higher;1;v-close;5-10 years;2;3;2;4;6
28;1;family;occasional;you;neither;49;Female;parent;None;1;v-close;>10 years;4;4;4;1;6
29;0;sport;regular;none;neither;50;Male;supervisor;Higher;1;v-close;5-10 years;2;3;2;4;6
4;0;sport;occasional;other;neither;25;Male;friend;None;2;v-close;2-5 years;5;5;5;5;3
-1;1;casual;regular;none;neither;20;Female;groupMember;None;-1;v-close;5-10 years;2;3;2;3;5
29;0;casual;occasional;other;giving;50;Male;supervisor;Higher;1;v-close;5-10 years;2;3;2;4;4
-12;0;work;occasional;other;giving;35;Female;coWorker;None;-1;v-close;2-5 years;4;5;2;3;4
-12;0;work;regular;none;neither;35;Female;coWorker;None;-1;v-close;2-5 years;4;5;2;3;6
26;0;family;regular;none;neither;73;Female;parent;None;1;v-close;>10 years;5;4;3;1;6
26;0;family;occasional;you;neither;73;Female;parent;None;1;v-close;>10 years;5;4;3;1;4
-18;0;sport;regular;none;neither;29;Female;friend;None;2;v-close;>10 years;5;4;3;1;6
-12;0;sport;occasional;other;neither;35;Female;coWorker;None;-1;v-close;2-5 years;4;5;2;3;2
-18;0;casual;occasional;you;receiving;29;Female;friend;None;2;v-close;>10 years;5;4;3;1;4
6;0;casual;occasional;other;giving;53;Female;extendedFamily;None;0;v-close;>10 years;2;2;2;2;6
-11;0;work;occasional;other;giving;29;Male;other;None;-2;v-close;<2 years;3;2;2;1;1
0;1;work;occasional;you;receiving;40;Female;supervisor;Higher;-1;v-close;2-5 years;2;4;;4;1
-7;1;family;regular;none;neither;33;Female;sibling;None;1;v-close;>10 years;4;3;3;1;6
-7;1;family;occasional;you;neither;33;Female;sibling;None;1;v-close;>10 years;4;3;3;1;4
-11;0;sport;regular;none;neither;29;Male;other;None;-2;v-close;<2 years;3;2;2;1;5
2;1;casual;occasional;you;receiving;42;Female;coWorker;None;1;v-close;<2 years;2;3;;4;4
-7;1;casual;occasional;other;giving;33;Female;friend;None;1;v-far;>10 years;4;3;3;1;3
-11;0;casual;occasional;none;neither;29;Male;other;None;-2;v-close;<2 years;3;2;2;1;5
8;0;work;occasional;other;giving;65;Male;coWorker;Lower;-1;v-close;<2 years;2;3;1;3;2
-29;0;work;occasional;you;receiving;28;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;3
8;0;work;regular;none;neither;65;Male;coWorker;Lower;-1;v-close;<2 years;2;3;1;3;6
-25;1;family;occasional;other;neither;32;Female;child;Lower;1;v-close;>10 years;5;4;3;1;4
-29;0;sport;regular;none;neither;28;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;6
0;1;sport;occasional;other;neither;57;Female;friend;None;2;close;>10 years;5;4;4;1;1
8;0;casual;regular;none;neither;65;Male;coWorker;Lower;-1;v-close;<2 years;2;3;1;3;4
-29;0;casual;occasional;other;giving;28;Male;supervisor;Higher;-1;v-close;<2 years;2;2;1;4;5
-2;0;work;occasional;other;giving;24;Male;other;None;-1;v-far;2-5 years;2;1;;1;4
7;1;work;occasional;you;receiving;33;Female;supervisor;Higher;1;v-close;<2 years;2;4;;2;4
7;1;work;regular;none;neither;33;Female;supervisor;Higher;1;v-close;<2 years;2;4;;2;6
-3;0;family;occasional;other;neither;23;Male;sibling;None;1;v-far;>10 years;3;2;3;1;6
12;1;sport;occasional;other;neither;38;Female;coWorker;Higher;0;v-close;<2 years;1;2;;2;4
12;1;casual;occasional;you;receiving;38;Female;coWorker;Higher;0;v-close;<2 years;1;2;;2;3
7;1;casual;occasional;other;giving;33;Female;supervisor;Higher;1;v-close;<2 years;2;4;;2;3
-2;0;casual;occasional;none;neither;24;Male;other;None;-1;v-far;2-5 years;2;1;;1;5
6;0;work;occasional;other;giving;40;Male;supervisor;Higher;1;v-close;2-5 years;2;4;2;4;4
6;0;work;occasional;you;receiving;40;Male;supervisor;Higher;1;v-close;2-5 years;2;4;2;4;4
6;0;work;regular;none;neither;40;Male;supervisor;Higher;1;v-close;2-5 years;2;4;2;4;6
10;0;family;occasional;you;neither;44;Male;sibling;None;2;v-far;>10 years;5;4;3;1;1
-2;0;sport;occasional;other;neither;32;Male;friend;None;1;v-close;5-10 years;4;3;3;1;4
-2;1;casual;regular;none;neither;32;Female;extendedFamily;None;-2;v-close;5-10 years;3;1;2;1;6
-2;1;casual;occasional;you;receiving;32;Female;extendedFamily;None;-2;v-close;5-10 years;3;1;2;1;4
-2;1;casual;occasional;none;neither;32;Female;extendedFamily;None;-2;v-close;5-10 years;3;1;2;1;4
17;0;work;occasional;other;giving;55;Male;supervisor;Higher;-2;v-far;5-10 years;2;1;2;5;3
22;0;work;occasional;you;receiving;60;Male;supervisor;Higher;-1;far;2-5 years;2;1;2;5;2
-10;1;family;regular;none;neither;28;Female;sibling;Lower;2;v-far;>10 years;5;3;4;1;6
-10;1;family;occasional;you;neither;28;Female;sibling;Lower;2;v-far;>10 years;5;3;4;1;2
17;0;sport;regular;none;neither;55;Male;supervisor;Higher;-2;v-far;5-10 years;2;1;2;5;6
17;1;casual;regular;none;neither;55;Female;neighbour;None;1;v-close;2-5 years;2;3;2;4;5
-12;1;casual;occasional;you;receiving;26;Female;friend;None;2;v-far;<2 years;3;4;3;1;4
17;0;casual;occasional;none;neither;55;Male;supervisor;Higher;-2;v-far;5-10 years;2;1;2;5;5
-11;1;work;occasional;other;giving;25;Male;friend;Lower;1;close;<2 years;1;4;5;4;5
0;0;work;regular;none;neither;36;Female;supervisor;Higher;2;close;>10 years;4;5;4;4;5
0;1;family;occasional;you;neither;36;Male;parent;Higher;2;close;>10 years;4;5;4;5;4
-24;1;family;occasional;other;neither;12;Male;child;Higher;-1;far;>10 years;4;5;4;4;5
0;0;sport;regular;none;neither;36;Female;supervisor;Higher;2;close;>10 years;4;5;4;4;6
-11;1;casual;regular;none;neither;25;Male;friend;Lower;1;close;<2 years;1;4;5;4;5
0;0;casual;occasional;you;receiving;36;Female;supervisor;Higher;2;close;>10 years;4;5;4;4;6
-11;1;casual;occasional;none;neither;25;Male;friend;Lower;1;close;2-5 years;4;5;4;4;5
-5;1;work;occasional;other;giving;35;Female;extendedFamily;None;-1;v-far;5-10 years;2;1;;1;4
25;1;work;occasional;you;receiving;65;Female;supervisor;Higher;1;v-close;>10 years;3;2;2;5;4
25;1;work;regular;none;neither;65;Female;supervisor;Higher;1;v-close;>10 years;3;2;2;5;3
3;0;family;occasional;you;neither;43;Male;partner;Higher;1;v-close;>10 years;5;5;3;5;4
1;1;sport;occasional;other;neither;41;Female;friend;None;1;close;>10 years;5;2;5;1;3
1;1;casual;regular;none;neither;41;Female;friend;None;1;close;>10 years;5;2;5;1;5
1;1;casual;occasional;other;giving;41;Female;friend;None;1;close;>10 years;5;2;5;1;4
-5;1;casual;occasional;none;neither;35;Female;extendedFamily;None;-1;v-far;5-10 years;2;1;;1;4
8;0;work;occasional;other;giving;58;Male;coWorker;None;-1;v-close;5-10 years;3;1;1;4;1
8;0;work;regular;none;neither;58;Male;coWorker;None;-1;v-close;5-10 years;3;1;1;4;6
-2;1;family;regular;none;neither;48;Female;sibling;Lower;2;v-close;>10 years;5;5;5;1;6
-2;1;family;occasional;other;neither;48;Female;sibling;Lower;2;v-close;>10 years;5;5;5;1;6
-6;0;sport;occasional;other;neither;44;Male;supervisor;Higher;1;v-close;5-10 years;2;2;2;4;1
-6;0;casual;occasional;you;receiving;44;Male;supervisor;Higher;1;v-close;5-10 years;2;2;2;4;5
-9;1;casual;occasional;other;giving;41;Female;neighbour;None;0;v-close;>10 years;2;1;;;4
-6;0;casual;occasional;none;neither;44;Male;supervisor;Higher;1;v-close;5-10 years;2;2;2;4;6
11;0;work;occasional;you;receiving;69;Female;supervisor;Higher;2;v-far;>10 years;4;3;3;5;4
-2;1;family;regular;none;neither;56;Male;sibling;None;0;v-far;>10 years;5;2;4;2;4
-2;1;family;occasional;you;neither;56;Male;sibling;None;0;v-far;>10 years;5;2;4;2;5
-2;1;family;occasional;other;neither;56;Male;sibling;None;0;v-far;>10 years;5;2;4;2;5
-12;0;sport;occasional;other;neither;46;Female;friend;Lower;1;v-far;>10 years;2;2;4;4;5
2;0;casual;regular;none;neither;60;Female;friend;None;-1;v-close;>10 years;5;2;4;3;4
-12;0;casual;occasional;other;giving;46;Female;friend;Lower;1;v-far;>10 years;2;2;4;4;5
-4;1;casual;occasional;none;neither;54;Male;friend;Lower;2;close;2-5 years;4;3;3;2;5
28;0;work;occasional;other;giving;60;Male;other;None;0;v-close;2-5 years;2;1;;1;4
23;1;work;occasional;you;receiving;55;Female;supervisor;Higher;1;v-close;<2 years;3;4;3;2;4
-3;1;family;occasional;you;neither;29;Female;sibling;None;2;v-close;>10 years;5;5;4;1;4
-3;1;family;occasional;other;neither;29;Female;sibling;None;2;v-close;>10 years;5;5;4;1;4
23;1;sport;regular;none;neither;55;Female;supervisor;Higher;1;v-close;<2 years;3;4;3;2;5
23;1;sport;occasional;other;neither;55;Female;supervisor;Higher;1;v-close;<2 years;3;4;3;2;4
23;1;casual;regular;none;neither;55;Female;supervisor;Higher;1;v-close;<2 years;3;4;3;2;4
1;1;casual;occasional;you;receiving;33;Female;friend;None;-2;v-close;>10 years;4;1;2;1;5
5;0;work;regular;none;neither;34;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;3;4
-5;0;family;regular;none;neither;24;Female;extendedFamily;Lower;1;v-close;>10 years;3;3;4;3;5
-5;0;family;occasional;you;neither;24;Female;extendedFamily;Lower;1;v-close;>10 years;3;3;4;3;4
-5;0;family;occasional;other;neither;24;Female;extendedFamily;Lower;1;v-close;>10 years;3;3;4;3;3
5;0;casual;regular;none;neither;34;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;3;4
0;1;casual;occasional;you;receiving;29;Male;coWorker;Lower;0;v-close;<2 years;2;2;2;2;4
5;0;casual;occasional;other;giving;34;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;3;5
5;0;casual;occasional;none;neither;34;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;3;5
38;1;work;occasional;other;giving;60;Male;supervisor;Higher;1;v-close;<2 years;3;3;4;4;5
38;1;work;occasional;you;receiving;60;Male;supervisor;Higher;1;v-close;<2 years;3;3;4;4;5
38;1;work;regular;none;neither;60;Male;supervisor;Higher;1;v-close;<2 years;3;3;4;4;6
0;0;family;occasional;other;neither;22;Female;partner;None;2;v-close;2-5 years;5;5;4;4;5
0;1;sport;regular;none;neither;22;Male;friend;None;2;v-close;2-5 years;4;5;3;4;6
38;1;sport;occasional;other;neither;60;Male;supervisor;Higher;1;v-close;<2 years;3;3;4;4;4
58;1;casual;occasional;you;receiving;80;Male;other;None;-1;v-close;<2 years;1;2;;5;5
0;1;casual;occasional;other;giving;22;Male;groupMember;None;0;v-close;<2 years;2;2;3;3;4
0;1;work;regular;none;neither;29;Female;supervisor;Higher;1;v-close;<2 years;2;5;3;3;6
30;1;family;regular;none;neither;59;Female;parent;Higher;2;v-far;>10 years;4;5;3;1;5
30;1;family;occasional;you;neither;59;Female;parent;Higher;2;v-far;>10 years;4;5;3;1;6
30;1;family;occasional;other;neither;59;Female;parent;Higher;2;v-far;>10 years;4;5;3;1;5
0;1;sport;regular;none;neither;29;Female;supervisor;Higher;1;v-close;<2 years;2;5;3;3;6
11;1;casual;regular;none;neither;40;Female;coWorker;Higher;1;v-close;<2 years;2;3;2;4;5
0;1;casual;occasional;you;receiving;29;Female;supervisor;Higher;1;v-close;<2 years;2;5;3;3;6
0;1;casual;occasional;none;neither;29;Female;supervisor;Higher;1;v-close;<2 years;2;5;3;3;5
14;1;work;occasional;you;receiving;58;Male;supervisor;Higher;0;v-close;2-5 years;3;3;2;5;3
-6;0;family;regular;none;neither;38;Female;partner;None;1;v-close;>10 years;5;5;4;1;4
-6;0;family;occasional;you;neither;38;Female;partner;None;1;v-close;>10 years;5;5;4;1;4
-6;0;family;occasional;other;neither;38;Female;partner;None;1;v-close;>10 years;5;5;4;1;5
20;1;sport;regular;none;neither;64;Male;neighbour;None;0;v-far;>10 years;2;1;3;1;5
14;1;sport;occasional;other;neither;58;Male;supervisor;Higher;0;v-close;2-5 years;3;3;2;5;4
20;1;casual;occasional;you;receiving;64;Male;neighbour;None;0;v-far;>10 years;2;1;3;1;4
-6;1;casual;occasional;none;neither;38;Male;friend;None;2;v-close;>10 years;4;4;4;2;4
8;0;work;occasional;other;giving;40;Male;supervisor;Higher;1;v-close;2-5 years;4;4;4;4;4
8;0;work;occasional;you;receiving;40;Male;supervisor;Higher;1;v-close;2-5 years;4;4;4;4;4
10;1;work;regular;none;neither;42;Female;coWorker;None;1;v-close;<2 years;1;2;2;4;4
18;1;family;regular;none;neither;50;Female;extendedFamily;None;1;close;>10 years;5;4;4;3;4
-4;0;sport;regular;none;neither;28;Male;friend;None;2;close;<2 years;4;4;4;3;4
8;0;sport;occasional;other;neither;40;Male;supervisor;Higher;1;v-close;2-5 years;4;4;4;4;4
8;0;casual;regular;none;neither;40;Male;supervisor;Higher;1;v-close;2-5 years;4;4;4;4;4
10;1;casual;occasional;other;giving;42;Female;coWorker;None;1;v-close;<2 years;1;2;2;4;3
-17;0;work;regular;none;neither;32;Male;supervisor;Higher;1;v-close;2-5 years;3;4;4;2;5
-30;0;family;regular;none;neither;19;Male;child;Lower;1;v-close;>10 years;5;5;4;1;5
-30;0;family;occasional;you;neither;19;Male;child;Lower;1;v-close;>10 years;5;5;4;1;4
-30;0;family;occasional;other;neither;19;Male;child;Lower;1;v-close;>10 years;5;5;4;1;3
1;1;sport;regular;none;neither;50;Female;groupMember;None;-1;close;5-10 years;3;2;3;1;6
6;0;sport;occasional;other;neither;55;Male;other;None;0;close;5-10 years;2;2;3;1;6
6;0;casual;regular;none;neither;55;Male;other;None;0;close;5-10 years;2;2;3;1;5
-9;1;casual;occasional;other;giving;40;Female;friend;None;1;v-close;>10 years;4;4;5;1;4
0;1;work;occasional;other;giving;31;Female;friend;None;2;far;>10 years;2;2;5;;5
29;1;work;occasional;you;receiving;60;Female;supervisor;Higher;0;v-close;5-10 years;1;1;1;5;6
29;1;work;regular;none;neither;60;Female;supervisor;Higher;0;v-close;5-10 years;1;1;1;5;5
34;1;family;occasional;you;neither;65;Female;parent;None;-1;far;>10 years;4;2;1;;6
0;1;sport;regular;none;neither;31;Female;friend;None;2;far;>10 years;2;2;5;;6
29;1;sport;occasional;other;neither;60;Female;supervisor;Higher;0;v-close;5-10 years;1;1;1;5;6
29;1;casual;regular;none;neither;60;Female;supervisor;Higher;0;v-close;5-10 years;1;1;1;5;1
0;1;casual;occasional;other;giving;31;Female;friend;None;2;far;>10 years;2;2;5;;1
0;1;work;occasional;other;giving;20;Female;friend;None;2;far;5-10 years;5;5;4;1;6
25;1;work;occasional;you;receiving;45;Female;supervisor;Higher;1;v-far;>10 years;4;3;3;3;6
25;1;work;regular;none;neither;45;Female;supervisor;Higher;1;v-far;>10 years;4;3;3;3;6
21;1;family;occasional;you;neither;41;Female;parent;Higher;1;v-far;>10 years;4;5;3;1;6
25;1;casual;regular;none;neither;45;Female;supervisor;Higher;1;v-far;>10 years;4;3;3;3;6
0;1;casual;occasional;you;receiving;20;Female;friend;None;2;far;5-10 years;5;5;4;1;6
0;1;casual;occasional;other;giving;20;Female;friend;None;2;far;5-10 years;5;5;4;1;6
0;1;casual;occasional;none;neither;20;Female;friend;None;2;far;5-10 years;5;5;4;1;6
24;1;work;occasional;you;receiving;47;Male;supervisor;Higher;1;v-close;<2 years;3;3;;5;3
18;0;family;regular;none;neither;41;Female;parent;None;1;v-close;>10 years;5;4;2;5;6
18;0;family;occasional;you;neither;41;Female;parent;None;1;v-close;>10 years;5;4;2;5;6
18;0;family;occasional;other;neither;41;Female;parent;None;1;v-close;>10 years;5;4;2;5;6
3;1;sport;regular;none;neither;26;Male;friend;None;2;v-far;5-10 years;4;5;4;1;6
24;1;casual;occasional;you;receiving;47;Male;supervisor;Higher;1;v-close;<2 years;3;3;;5;5
-1;1;casual;occasional;other;giving;22;Male;other;None;-2;v-close;2-5 years;;1;;;4
3;1;casual;occasional;none;neither;26;Male;friend;None;2;v-far;5-10 years;4;5;4;1;3
13;1;work;occasional;other;giving;75;Female;coWorker;None;1;v-close;2-5 years;2;3;3;1;4
-22;0;work;occasional;you;receiving;40;Male;supervisor;Higher;-1;v-close;<2 years;2;3;3;2;4
-22;0;work;regular;none;neither;40;Male;supervisor;Higher;-1;v-close;<2 years;2;3;3;2;5
-24;0;family;occasional;you;neither;38;Male;child;None;2;v-close;>10 years;5;5;4;1;4
-21;0;sport;regular;none;neither;41;Male;friend;None;2;v-close;>10 years;4;3;3;1;6
-36;1;sport;occasional;other;neither;26;Female;extendedFamily;None;-2;v-close;>10 years;4;1;4;1;5
-21;0;casual;regular;none;neither;41;Male;friend;None;2;v-close;>10 years;4;3;3;1;4
-36;1;casual;occasional;none;neither;26;Female;extendedFamily;None;-2;v-close;>10 years;4;1;4;1;4
12;1;work;occasional;other;giving;40;Female;supervisor;Higher;-1;v-close;2-5 years;3;1;1;4;2
12;1;work;occasional;you;receiving;40;Female;supervisor;Higher;-1;v-close;2-5 years;3;1;1;4;2
12;1;work;regular;none;neither;40;Female;supervisor;Higher;-1;v-close;2-5 years;3;1;1;4;6
-20;0;family;occasional;other;neither;8;Male;child;Lower;1;v-close;5-10 years;5;5;3;1;5
12;1;casual;regular;none;neither;40;Female;supervisor;Higher;-1;v-close;2-5 years;3;1;1;4;4
0;1;casual;occasional;you;receiving;28;Female;friend;None;1;v-close;>10 years;3;4;3;2;2
12;1;casual;occasional;other;giving;40;Female;supervisor;Higher;-1;v-close;2-5 years;3;1;1;4;6
6;0;casual;occasional;none;neither;34;Male;friend;None;-2;v-close;<2 years;5;1;4;1;1
-6;1;work;occasional;other;giving;50;Female;extendedFamily;Lower;-2;v-far;>10 years;2;1;1;1;1
-4;1;work;regular;none;neither;52;Female;supervisor;Higher;-2;v-far;>10 years;1;1;1;5;4
0;0;family;regular;none;neither;56;Male;partner;None;1;v-close;>10 years;4;3;2;1;6
0;0;family;occasional;other;neither;56;Male;partner;None;1;v-close;>10 years;4;3;2;1;4
-1;1;sport;regular;none;neither;55;Female;friend;None;2;v-far;>10 years;5;5;5;1;1
-4;1;casual;occasional;you;receiving;52;Female;supervisor;Higher;-2;v-far;>10 years;1;1;1;5;1
-4;1;casual;occasional;other;giving;52;Female;supervisor;Higher;-2;v-far;>10 years;1;1;1;5;1
-1;1;casual;occasional;none;neither;55;Female;friend;None;2;v-far;>10 years;5;5;5;1;1
4;0;work;occasional;other;giving;45;Female;neighbour;None;0;v-close;<2 years;1;2;;1;4
10;1;work;occasional;you;receiving;51;Male;supervisor;Higher;1;v-close;5-10 years;3;4;2;3;4
10;1;work;regular;none;neither;51;Male;supervisor;Higher;1;v-close;5-10 years;3;4;2;3;5
-5;0;family;occasional;you;neither;36;Female;partner;None;2;v-close;>10 years;5;5;4;1;5
10;1;sport;regular;none;neither;51;Male;supervisor;Higher;1;v-close;5-10 years;3;4;2;3;5
10;1;sport;occasional;other;neither;51;Male;supervisor;Higher;1;v-close;5-10 years;3;4;2;3;3
10;1;casual;regular;none;neither;51;Male;supervisor;Higher;1;v-close;5-10 years;3;4;2;3;5
14;1;casual;occasional;other;giving;55;Male;friend;None;1;v-close;>10 years;3;3;2;1;4
